"home_team","away_team","totals_quantile_low","totals_quantile_high","home_score_mean","away_score_mean","Home.Line.Open","Total.Score.Open","Home.Score","Away.Score","totals","over_under","totals_result","totals_win_lose","home_pt_diff","score_diff","side_bet","sides_result"
"St Kilda","Brisbane","156.126025191986","162.941536597098","80.6427664952113","79.1746537996726",5.5,170.5,66,81,147,"under",-23.5,"win",1.46811269553871,-15,"home","loss"
"Western Bulldogs","GWS Giants","153.942798225353","160.407916109154","83.335296939269","74.0462388823509",-28.5,170.5,62,57,119,"under",-51.5,"win",9.28905805691809,5,"away","win"
"Adelaide","North Melbourne","128.190539233312","134.332043462575","58.2405482538988","73.3754638879706",-36.5,160.5,103,74,177,"under",16.5,"lose",-15.1349156340718,29,"away","win"
"Gold Coast","Geelong","159.917169512347","167.523520115595","73.0896818758386","90.9666406901018",18.5,154.5,59,119,178,"over",23.5,"win",-17.8769588142632,-60,"home","loss"
"Melbourne","Carlton","151.541895775824","158.01518073275","81.5193389988334","73.6919409150373",-15.5,158.5,79,74,153,"under",-5.5,"win",7.8273980837961,5,"away","win"
"Fremantle","West Coast","116.88752939594","122.757227907984","50.0092242974411","70.2596431139086",-29.5,159.5,71,47,118,"under",-41.5,"win",-20.2504188164675,24,"away","win"
"Richmond","Hawthorn","169.623297839093","176.855432587432","90.1513896680352","83.4449991053849",-14.5,169.5,128,67,195,"over",25.5,"win",6.7063905626503,61,"away","loss"
"Sydney","Collingwood","156.704521237601","163.619277790532","78.2718341320121","82.2114742165677",-20.5,169.5,77,50,127,"under",-42.5,"win",-3.93964008455559,27,"away","loss"
"Essendon","Port Adelaide","147.354150123956","153.534092865688","79.4257989254188","71.3413121189138",-4.5,166.5,62,146,208,"under",41.5,"lose",8.084486806505,-84,"home","loss"
"Brisbane","Melbourne","168.80597400585","175.811592536697","91.4710582468373","81.1485119219645",-2.5,170.5,57,115,172,"no bet",1.5,NA,10.3225463248728,-58,"home","loss"
"GWS Giants","Fremantle","126.09138858797","132.197622289577","56.4669408358058","73.0163349084731",12.5,150.5,69,89,158,"under",7.5,"lose",-16.5493940726673,-20,"away","win"
"North Melbourne","Gold Coast","143.070370615271","149.806477167139","65.5663022232551","81.1077173821766",22.5,183.5,47,114,161,"under",-22.5,"win",-15.5414151589215,-67,"home","loss"
"Geelong","West Coast","129.742230371828","136.234998019961","53.3375317425604","79.8211347509364",-64.5,164.5,131,46,177,"under",12.5,"lose",-26.483603008376,85,"away","loss"
"Essendon","Richmond","177.483423892135","184.888063573259","93.2527324665198","88.2347948203297",10.5,176.5,75,141,216,"over",39.5,"win",5.01793764619011,-66,"home","loss"
"Port Adelaide","Adelaide","141.463200581941","147.442198427807","75.4427216588628","69.3016646968078",-10.5,166.5,111,55,166,"under",-0.5,"win",6.14105696205499,56,"away","loss"
"Hawthorn","Western Bulldogs","160.921913991382","167.587914191858","87.5967501608972","76.8692686611793",7.5,174.5,64,87,151,"under",-23.5,"win",10.7274814997179,-23,"home","loss"
"Carlton","Collingwood","143.178252360131","149.42071172436","74.1947941697121","72.3979776935671",6.5,164.5,74,75,149,"under",-15.5,"win",1.796816476145,-1,"home","win"
"St Kilda","Sydney","152.528189279453","159.078140358746","79.0152615953746","77.1128715299834",12.5,168.5,74,88,162,"under",-6.5,"win",1.9023900653912,-14,"home","loss"
