"match_id","points_per_kick","home_ground","temp","humidity","dew","precip","precipprob","windspeed","winddir","conditions"
14813,2.93333333333333,"Kardinia Park",72.4,42.71,48.5,0,0,244,244,"Partially cloudy"
14814,3.56,"Perth Stadium",87.6,52.47,68.1,0,0,290,290,"Clear"
14815,2.65853658536585,"Docklands Stadium",62.7,82.98,57.4,0,0,189,189,"Partially cloudy"
14816,3.69565217391304,"Melbourne Cricket Ground",62.9,74.07,54.6,0,0,169,169,"Partially cloudy"
14817,2.93939393939394,"The Gabba",73.7,66.66,61.9,0,0,90,90,"Partially cloudy"
14818,3.33333333333333,"Docklands Stadium",58.2,78.85,51.6,0,0,172,172,"Overcast"
14819,3.49152542372881,"Adelaide Oval",56.8,75.59,49.2,0,0,139,139,"Partially cloudy"
14820,3.54237288135593,"Sydney Showground Stadium",67,82.21,61.4,0,0,198,198,"Partially cloudy"
14821,3.72727272727273,"Melbourne Cricket Ground",65.5,50.26,46.5,0,0,195,195,"Partially cloudy"
14822,3.79661016949153,"Docklands Stadium",64.5,51.17,46.1,0,0,180,180,"Clear"
14823,4.11320754716981,"Melbourne Cricket Ground",58.8,52.31,41.4,0,0,181,181,"Overcast"
14824,3.1219512195122,"Sydney Cricket Ground",64.8,80.19,58.6,0,0,198,198,"Partially cloudy"
14825,3.71153846153846,"Carrara Stadium",76.6,54.64,59.1,0,0,120,120,"Partially cloudy"
14826,3.29090909090909,"Docklands Stadium",60.6,74.87,52.6,0,0,163,163,"Partially cloudy"
14827,3.43478260869565,"Adelaide Oval",55.5,74.17,47.4,0,0,156,156,"Clear"
14828,3.98039215686275,"Docklands Stadium",64.8,61.66,51.4,0,0,181,181,"Clear"
14829,2.74,"Perth Stadium",101.8,9.43,33.6,0,0,60,60,"Clear"
14830,3.91071428571429,"Melbourne Cricket Ground",60.2,83.76,55.2,0,0,188,188,"Clear"
14831,4.0377358490566,"Melbourne Cricket Ground",76.4,36.3,47.7,0,0,2,2,"Clear"
14832,2.69230769230769,"Docklands Stadium",63.4,83.56,58.4,0,0,9,9,"Clear"
14833,3.69354838709677,"Melbourne Cricket Ground",72.7,62.06,58.9,0,0,1,1,"Clear"
14834,2.90909090909091,"Adelaide Oval",75.4,24.39,36.5,0,0,328,328,"Clear"
14835,3.93333333333333,"Sydney Showground Stadium",78.5,52.01,59.4,0,0,12,12,"Partially cloudy"
14836,3.61016949152542,"Kardinia Park",68.9,71.61,59.4,0,0,2,2,"Clear"
14837,3.26666666666667,"Melbourne Cricket Ground",68.9,71.61,59.4,0,0,2,2,"Clear"
14838,3.91666666666667,"The Gabba",71.5,94.48,69.8,0,0,207,207,"Partially cloudy"
14839,2.79545454545455,"Docklands Stadium",59.6,50.98,41.5,0,0,0,0,"Rain, Overcast"
14840,3.35185185185185,"Perth Stadium",89.9,54.43,71.2,0,0,250,250,"Overcast"
14841,4.19230769230769,"Melbourne Cricket Ground",63.7,74.34,55.4,0,0,225,225,"Overcast"
14842,3.6530612244898,"Melbourne Cricket Ground",76.6,36.32,47.9,0,0,351,351,"Clear"
14843,3.44827586206897,"Kardinia Park",75.4,38.86,48.6,0,0,353,353,"Overcast"
14844,3.34545454545455,"Sydney Cricket Ground",69.8,69.91,59.5,0,0,54,54,"Partially cloudy"
14845,4.28070175438596,"Carrara Stadium",73.5,68.33,62.4,0,0,109,109,"Partially cloudy"
14846,4.08928571428571,"Docklands Stadium",69.7,50.05,50.3,0,0,23,23,"Clear"
14847,3.38,"Perth Stadium",78.8,89.69,75.5,0,0,306,306,"Partially cloudy"
